/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-01.npy|black beauty : the autobiography of a horse .~|0 2 3 4 5 6 7 8|1 4 4 1 7 7 4 1|amod punct det appos case det nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-02.npy|by anna sewell .~|0 2 3|1 1 1|case flat punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-03.npy|performed by catherine byers .~|1 2 3 4|2 0 2 0|case obl flat punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-04.npy|part one .~|1 2|0 0|nummod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-05.npy|chapter one .~|0 2|1 1|compound punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-06.npy|my early home .~|0 1 3|2 2 2|nmod:poss amod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-07.npy|the first place that i can well remember was a large pleasant meadow with a pond of clear water in it .~|0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21|2 2 12 7 7 7 7 2 12 12 12 12 15 15 12 18 18 15 20 15 12|det amod nsubj obj nsubj aux advmod acl:relcl cop det amod amod case det nmod case amod nmod case nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-08.npy|some shady trees leaned over it , and rushes and water-lilies grew at the deep end .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18|2 2 3 5 3 13 13 13 12 12 12 8 3 17 17 17 13 3|det amod nsubj case obl punct cc nsubj cc compound punct conj conj case det amod obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-10.npy|while i was young i lived upon my mother's milk , as i could not eat grass .~|0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18|3 3 3 5 5 10 8 10 8 5 5 16 16 16 16 5 16 5|mark nsubj cop advcl nsubj case nmod:poss nmod:poss case obl punct mark nsubj aux advmod advcl obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-11.npy|in the daytime i ran by her side , and at night i lay down close by her .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18|2 2 4 4 7 7 4 13 13 11 13 13 4 13 13 17 13 4|case det obl nsubj case nmod:poss obl punct cc case obl nsubj conj compound:prt xcomp case obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-12.npy|when it was hot we used to stand by the pond in the shade of the trees , and when it was cold we had a nice warm shed near the plantation .~|0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32|3 3 3 5 5 7 5 10 10 7 13 13 7 16 16 13 24 24 22 22 22 24 24 5 28 28 28 24 31 31 28 5|mark nsubj cop advcl nsubj mark xcomp case det obl case det obl case det nmod punct cc mark nsubj cop advcl nsubj conj det amod amod obj case det nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-13.npy|as soon as i was old enough to eat grass my mother used to go out to work in the daytime , and come back in the evening .~|0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28|1 12 5 5 5 1 5 8 5 8 11 12 14 12 14 17 14 20 20 17 23 23 14 23 27 27 23 12|advmod advmod mark nsubj cop advcl advmod mark advcl obj nmod:poss nsubj mark xcomp advmod mark advcl case det obl punct cc conj advmod case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-14.npy|there were six young colts in the meadow besides me ; they were older than i was ; some were nearly as large as grown-up horses .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28|1 4 4 1 7 7 4 9 1 1 13 13 1 16 16 13 1 22 22 22 22 1 27 27 24 24 22 1|expl nummod amod nsubj case det nmod case obl punct nsubj cop parataxis mark nsubj advcl punct nsubj cop advmod advmod parataxis case amod punct compound obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-15.npy|i used to run with them , and had great fun ; we used to gallop all together round and round the field as hard as we could go .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29|1 3 1 5 3 8 8 1 10 8 13 13 1 15 13 17 15 15 22 22 22 18 24 15 28 28 28 24 1|nsubj mark xcomp case obl punct cc conj amod obj punct nsubj parataxis mark xcomp advmod advmod advmod cc case det conj advmod advmod mark nsubj aux advcl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-16.npy|sometimes we had rather rough play , for they would frequently bite and kick as well as gallop .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18|2 2 4 5 2 2 11 11 11 11 2 13 11 17 14 14 11 2|advmod nsubj advmod amod obj punct mark nsubj aux advmod advcl cc conj cc fixed fixed conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-17.npy|one day , when there was a good deal of kicking , my mother whinnied to me to come to her , and then she said : i wish you to pay attention to what i am going to say to you .~|0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42|1 14 14 5 5 14 8 8 5 10 8 5 13 14 16 14 18 14 20 18 25 25 25 25 14 25 28 25 28 31 28 31 34 31 37 37 34 39 37 41 39 14|nummod obl:tmod punct mark expl advcl det amod nsubj case nmod punct nmod:poss nsubj case obl mark advcl case obl punct cc advmod nsubj conj punct nsubj ccomp obj mark xcomp obj case obl nsubj aux acl:relcl mark xcomp case obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-18.npy|the colts who live here are very good colts , but they are cart-horse colts , and of course they have not learned manners .~|0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26|1 8 3 1 3 8 7 8 16 16 16 16 15 15 16 8 24 24 24 19 24 24 24 8 24 8|det nsubj nsubj acl:relcl advmod cop advmod amod punct cc nsubj cop compound punct compound conj punct cc advmod fixed nsubj aux advmod conj obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-20.npy|i hope you will grow up gentle and good , and never learn bad ways ; do your work with a good will , lift your feet up well when you trot , and never bite or kick even in play .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41|1 4 4 1 4 4 8 6 12 12 12 4 14 12 16 1 18 16 22 22 22 16 24 16 26 24 24 24 31 31 24 35 35 35 4 37 35 40 40 35 1|nsubj nsubj aux ccomp compound:prt xcomp cc conj punct cc advmod conj amod obj punct parataxis nmod:poss obj case det amod obl punct conj nmod:poss obj advmod advmod mark nsubj advcl punct cc advmod conj cc conj advmod case obl punct
